dt,_col1,mad_id,gps_scans,location_update,event_type,time_zone
2017-09-24,2017-09-24T15:27:06.000Z,81B4F17C-2279-40F3-A027-22DB0B1270FB,"[[[u'BR', u'PE', None, u'Recife', u'Madalena', u'Rua Jos\xe9 Bonif\xe1cio', u'385', u'51345'], [-8.047768999999999, -34.90652, 47.26044320059174], 1506266826990]]","[[u'BR', u'PE', None, u'Recife', u'Madalena', u'Rua Jos\xe9 Bonif\xe1cio', u'385', u'51345'], [-8.047768999999999, -34.90652, 47.26044320059174], [u'59138b2503205749cdfbb274', u'5913913e03205749cd16bd1c', u'59138b2503205749cdfbb2f6', u'59138e4903205749cd088956', u'59138aad03205749cdfa7358', u'5913913f03205749cd16c337', u'591392ff03205749cd2046ab', u'59138f2503205749cd0c820e', u'5913907f03205749cd12da08'], 1506266826990, u'America/Recife', [[u'58f1ae6758dae64d70221323', [u'doctor'], u'LOW'], [u'5880e0fc58dae602e9ee5060', [u'pharmacy'], u'LOW'], [u'58a9e4bb58dae62ca3db4ce4', [u'laundry'], u'LOW'], [u'58e07e1958dae64d700b05c7', None, u'LOW'], [u'58e6110c58dae64d70132926', [u'store'], u'LOW']], u'c67a03692bcd4fe26291712cf7f2dec47bbe94d0eb849a6c6ecac2fdbfb350fe', u'81B4F17C-2279-40F3-A027-22DB0B1270FB']",VISIT,America/Recife
2017-09-24,2017-09-23T19:38:08.000Z,81B4F17C-2279-40F3-A027-22DB0B1270FB,"[[[u'BR', u'PE', None, u'Casa Amarela', u'Casa Amarela', u'Rua Guedes Pereira', u'77', u'52060'], [-8.030306, -34.908558, 51.230567523007224], 1506195488999]]","[[u'BR', u'PE', None, u'Casa Amarela', u'Casa Amarela', u'Rua Guedes Pereira', u'77', u'52060'], [-8.030306, -34.908558, 51.230567523007224], [u'5913908003205749cd12dcb4', u'59138b2503205749cdfbb274', u'5913913e03205749cd16bd1c', u'59138b2503205749cdfbb2f6', u'59138e4903205749cd088956', u'59138aad03205749cdfa7358', u'5913913f03205749cd16c337', u'591392ff03205749cd2046ab', u'59138f2503205749cd0c820e'], 1506195488999, u'America/Recife', [[u'581269a458dae6667a0c2db2', [u'hair_care', u'beauty_salon', u'well_being'], u'LOW'], [u'57daef34242dd2e62e40f1b4', [u'bar', u'restaurant'], u'LOW'], [u'58a631a558dae62af3b2e658', [u'point_of_interest'], u'LOW'], [u'57daf886242dd2e62e5af18f', [u'pharmacy'], u'LOW'], [u'5880b0a458dae602e9ed45cc', [u'hair_care', u'beauty_salon', u'well_being'], u'LOW']], u'c67a03692bcd4fe26291712cf7f2dec47bbe94d0eb849a6c6ecac2fdbfb350fe', u'81B4F17C-2279-40F3-A027-22DB0B1270FB']",VISIT,America/Recife
2017-09-23,2017-09-23T00:03:02.000Z,81B4F17C-2279-40F3-A027-22DB0B1270FB,"[[[u'BR', u'PE', None, u'Madalena', u'Madalena', u'Rua Jos\xe9 Ant\xf4nio Cabral da Silveira', u'1\u2013117', u'50610'], [-8.051592, -34.905913, 34.69794855773773], 1506124982758]]","[[u'BR', u'PE', None, u'Madalena', u'Madalena', u'Rua Jos\xe9 Ant\xf4nio Cabral da Silveira', u'1\u2013117', u'50610'], [-8.051592, -34.905913, 34.69794855773773], [u'59138b2503205749cdfbb274', u'5913913e03205749cd16bd1c', u'59138b2503205749cdfbb2f6', u'59138e4903205749cd088956', u'59138aad03205749cdfa7358', u'5913913f03205749cd16c337', u'591392ff03205749cd2046ab', u'59138f2503205749cd0c820e', u'5913907f03205749cd12da08'], 1506124982758, u'America/Recife', [[u'58a81be858dae62ca3d98b11', [u'bakery'], u'LOW'], [u'57ef86ff58dae6667adf10a6', [u'hair_care', u'beauty_salon', u'well_being', u'store'], u'LOW'], [u'588d1ff958dae65b5e2fb917', [u'lodging'], u'LOW'], [u'58d41bad58dae6551691b80b', [u'real_estate_agency'], u'LOW']], u'c67a03692bcd4fe26291712cf7f2dec47bbe94d0eb849a6c6ecac2fdbfb350fe', u'81B4F17C-2279-40F3-A027-22DB0B1270FB']",VISIT,America/Recife
2017-09-23,2017-09-23T11:58:59.000Z,81B4F17C-2279-40F3-A027-22DB0B1270FB,"[[[None, None, None, None, None, None, None, None], [-8.051775, -34.906006999999995, 34.36248605224223], 1506167939469]]","[[u'BR', u'PE', None, u'Recife', None, u'Rua J A da Silveira, ~61', None, None], [-8.051775, -34.906006999999995, 34.36248605224223], [u'59138b2503205749cdfbb274', u'5913913e03205749cd16bd1c', u'59138b2503205749cdfbb2f6', u'59138e4903205749cd088956', u'59138aad03205749cdfa7358', u'5913913f03205749cd16c337', u'591392ff03205749cd2046ab', u'59138f2503205749cd0c820e', u'5913907f03205749cd12da08'], 1506167939469, u'America/Recife', [[u'588d1ff958dae65b5e2fb917', [u'lodging'], u'LOW'], [u'58a81be858dae62ca3d98b11', [u'bakery'], u'LOW']], None, u'81B4F17C-2279-40F3-A027-22DB0B1270FB']",LOCALIZATION,America/Recife
2017-09-24,2017-09-24T00:45:24.000Z,81B4F17C-2279-40F3-A027-22DB0B1270FB,"[[[u'BR', u'PE', None, u'Recife', u'Parnamirim', u'Avenida Parnamirim', u'223', u'52060'], [-8.03441, -34.908609999999996, 65.0], 1506213924052]]","[[u'BR', u'PE', None, u'Recife', u'Parnamirim', u'Avenida Parnamirim', u'223', u'52060'], [-8.03441, -34.908609999999996, 65.0], [u'5913908003205749cd12dcb9', u'59138b2503205749cdfbb274', u'5913913e03205749cd16bd1c', u'59138b2503205749cdfbb2f6', u'59138e4903205749cd088956', u'59138aad03205749cdfa7358', u'5913913f03205749cd16c337', u'591392ff03205749cd2046ab', u'59138f2503205749cd0c820e'], 1506213924052, u'America/Recife', [[u'588cf8cd58dae65b5e2f6e19', [u'lodging'], u'LOW'], [u'58e5bf2658dae64d7012a43a', [u'lawyer'], u'LOW'], [u'58e8727858dae64d7015fa85', [u'lawyer'], u'LOW'], [u'58d8a8d158dae651ff3a6b93', [u'point_of_interest'], u'LOW'], [u'58dc279958dae621975e5c82', [u'gas_station'], u'LOW']], None, u'81B4F17C-2279-40F3-A027-22DB0B1270FB']",LOCALIZATION,America/Recife
2017-09-24,2017-09-24T23:31:36.000Z,81B4F17C-2279-40F3-A027-22DB0B1270FB,"[[[u'BR', u'PE', None, u'Recife', u'Madalena', u'Rua Dom Jo\xe3o de Souza', u'149', u'50610'], [-8.051559, -34.905975, 25.787435186382908], 1506295896682]]","[[u'BR', u'PE', None, u'Recife', u'Madalena', u'Rua Dom Jo\xe3o de Souza', u'149', u'50610'], [-8.051559, -34.905975, 25.787435186382908], [u'59138b2503205749cdfbb274', u'5913913e03205749cd16bd1c', u'59138b2503205749cdfbb2f6', u'59138e4903205749cd088956', u'59138aad03205749cdfa7358', u'5913913f03205749cd16c337', u'591392ff03205749cd2046ab', u'59138f2503205749cd0c820e', u'5913907f03205749cd12da08'], 1506295896682, u'America/Recife', [[u'58a81be858dae62ca3d98b11', [u'bakery'], u'MEDIUM'], [u'588d1ff958dae65b5e2fb917', [u'lodging'], u'LOW'], [u'57ef86ff58dae6667adf10a6', [u'hair_care', u'beauty_salon', u'well_being', u'store'], u'LOW']], None, u'81B4F17C-2279-40F3-A027-22DB0B1270FB']",LOCALIZATION,America/Recife
2017-09-23,2017-09-23T00:03:02.000Z,81B4F17C-2279-40F3-A027-22DB0B1270FB,"[[[u'BR', u'PE', None, u'Recife', u'Madalena', u'Rua Dom Jo\xe3o de Souza', u'149', u'50610'], [-8.051662, -34.905957, 87.24487593962584], 1506124982758]]","[[u'BR', u'PE', None, u'Recife', u'Madalena', u'Rua Dom Jo\xe3o de Souza', u'149', u'50610'], [-8.051662, -34.905957, 87.24487593962584], [u'59138b2503205749cdfbb274', u'5913913e03205749cd16bd1c', u'59138b2503205749cdfbb2f6', u'59138e4903205749cd088956', u'59138aad03205749cdfa7358', u'5913913f03205749cd16c337', u'591392ff03205749cd2046ab', u'59138f2503205749cd0c820e', u'5913907f03205749cd12da08'], 1506124982758, u'America/Recife', [[u'58a81be858dae62ca3d98b11', [u'bakery'], u'LOW'], [u'588d1ff958dae65b5e2fb917', [u'lodging'], u'LOW'], [u'57ef86ff58dae6667adf10a6', [u'hair_care', u'beauty_salon', u'well_being', u'store'], u'LOW'], [u'58d41bad58dae6551691b80b', [u'real_estate_agency'], u'LOW'], [u'588009ea58dae602e9ec34f8', [u'restaurant', u'point_of_interest'], u'LOW']], u'd99b264567d0664aa4f42a0c91045823d74b9b2e90648e62013be4ad28c8c089', u'81B4F17C-2279-40F3-A027-22DB0B1270FB']",VISIT,America/Recife
2017-09-23,2017-09-23T00:01:30.000Z,81B4F17C-2279-40F3-A027-22DB0B1270FB,"[[[u'BR', u'PE', None, u'Recife', u'Madalena', u'Avenida Visconde de Albuquerque', u'233', u'50610'], [-8.056033, -34.907055, 22.247266908292616], 1506124890568]]","[[u'BR', u'PE', None, u'Recife', u'Madalena', u'Avenida Visconde de Albuquerque', u'233', u'50610'], [-8.056033, -34.907055, 22.247266908292616], [u'59138b2503205749cdfbb274', u'5913913e03205749cd16bd1c', u'59138b2503205749cdfbb2f6', u'59138e4903205749cd088956', u'59138aad03205749cdfa7358', u'5913913f03205749cd16c337', u'591392ff03205749cd2046ab', u'59138f2503205749cd0c820e', u'5913907f03205749cd12da08'], 1506124890568, u'America/Recife', [[u'58a6e0ee58dae62af3b32fbf', [u'doctor'], u'LOW'], [u'58aa560758dae62ca3dba70e', [u'dentist'], u'LOW'], [u'57daf2b0242dd2e62e4a350e', [u'restaurant'], u'LOW'], [u'58e424cf58dae64d700fb849', [u'store'], u'LOW'], [u'58dd47e058dae64d700380a1', [u'real_estate_agency'], u'LOW']], None, u'81B4F17C-2279-40F3-A027-22DB0B1270FB']",LOCALIZATION,America/Recife
2017-09-23,2017-09-23T19:34:54.000Z,81B4F17C-2279-40F3-A027-22DB0B1270FB,"[[[u'BR', u'PE', None, u'Recife', u'Parnamirim', u'Rua Sebasti\xe3o Malta Arcoverde', u'172\u2013280', u'52060'], [-8.034984999999999, -34.908373999999995, 10.0], 1506195294993]]","[[u'BR', u'PE', None, u'Recife', u'Parnamirim', u'Rua Sebasti\xe3o Malta Arcoverde', u'172\u2013280', u'52060'], [-8.034984999999999, -34.908373999999995, 10.0], [u'5913908003205749cd12dcb9', u'59138b2503205749cdfbb274', u'5913913e03205749cd16bd1c', u'59138b2503205749cdfbb2f6', u'59138e4903205749cd088956', u'59138aad03205749cdfa7358', u'5913913f03205749cd16c337', u'591392ff03205749cd2046ab', u'59138f2503205749cd0c820e'], 1506195294993, u'America/Recife', [[u'58e4347158dae64d700fd686', [u'well_being'], u'MEDIUM']], None, u'81B4F17C-2279-40F3-A027-22DB0B1270FB']",LOCALIZATION,America/Recife
2017-09-23,2017-09-23T02:20:41.000Z,81B4F17C-2279-40F3-A027-22DB0B1270FB,"[[[u'BR', u'PE', None, u'Recife', u'Madalena', u'Rua Dom Jo\xe3o de Souza', u'87', u'50610'], [-8.051771, -34.905898, 65.0], 1506133241276]]","[[u'BR', u'PE', None, u'Recife', u'Madalena', u'Rua Dom Jo\xe3o de Souza', u'87', u'50610'], [-8.051771, -34.905898, 65.0], [u'59138b2503205749cdfbb274', u'5913913e03205749cd16bd1c', u'59138b2503205749cdfbb2f6', u'59138e4903205749cd088956', u'59138aad03205749cdfa7358', u'5913913f03205749cd16c337', u'591392ff03205749cd2046ab', u'59138f2503205749cd0c820e', u'5913907f03205749cd12da08'], 1506133241276, u'America/Recife', [[u'58d41bad58dae6551691b80b', [u'real_estate_agency'], u'LOW'], [u'588d1ff958dae65b5e2fb917', [u'lodging'], u'LOW'], [u'58a81be858dae62ca3d98b11', [u'bakery'], u'LOW'], [u'57ef86ff58dae6667adf10a6', [u'hair_care', u'beauty_salon', u'well_being', u'store'], u'LOW'], [u'58bab77558dae658c21a202c', [u'point_of_interest'], u'LOW']], None, u'81B4F17C-2279-40F3-A027-22DB0B1270FB']",LOCALIZATION,America/Recife
2017-09-23,2017-09-23T10:46:42.000Z,81B4F17C-2279-40F3-A027-22DB0B1270FB,"[[[u'BR', u'PE', None, u'Recife', u'Madalena', u'Rua Dom Jo\xe3o de Souza', u'77', u'50610'], [-8.051934, -34.905863, 65.0], 1506163602137]]","[[u'BR', u'PE', None, u'Recife', u'Madalena', u'Rua Dom Jo\xe3o de Souza', u'77', u'50610'], [-8.051934, -34.905863, 65.0], [u'59138b2503205749cdfbb274', u'5913913e03205749cd16bd1c', u'59138b2503205749cdfbb2f6', u'59138e4903205749cd088956', u'59138aad03205749cdfa7358', u'5913913f03205749cd16c337', u'591392ff03205749cd2046ab', u'59138f2503205749cd0c820e', u'5913907f03205749cd12da08'], 1506163602137, u'America/Recife', [[u'58bab77558dae658c21a202c', [u'point_of_interest'], u'LOW'], [u'58d41bad58dae6551691b80b', [u'real_estate_agency'], u'LOW'], [u'588d1ff958dae65b5e2fb917', [u'lodging'], u'LOW'], [u'58a81be858dae62ca3d98b11', [u'bakery'], u'LOW'], [u'57ef86ff58dae6667adf10a6', [u'hair_care', u'beauty_salon', u'well_being', u'store'], u'LOW']], None, u'81B4F17C-2279-40F3-A027-22DB0B1270FB']",LOCALIZATION,America/Recife
